path,type,raster value,vector key,vector value,max impact dist,decay type,effect_distance_type,value of parameter at min distance
data\infrastructure_polygons\PH_NationalRoad_DPWH.gpkg,vector,,,,10000,exponential,nearest,0.5
data\landcover_rasters\ph_clip.tif,raster,3,,,25000,sigmoid,convolution,0.3
