lulc_id,lulc_description
1,Airport/Port
2,Dryland Agriculture
3,Dryland Agriculture Mix Shrubs
4,Forest Plantations
5,Marsh Shrubs
6,Mining
7,Open Land
8,Paddy Field
9,Plantations
10,Pond
11,Primary DryLand Forest
12,Primary Mangrove Forest
13,Primary Swamp Forest
14,Savannah/Meadows
15,Secondary DryLand Forest
16,Secondary Mangrove Forest
17,Secondary Swamp Forest
18,Settlements
19,Shrubs
20,Swamp
21,Transmigration
22,Water Body
